iron_wall	철벽
open_riichi	개문선언
yakuless_win	무형화료
discard_recall	회수
red_five_touch	붉은 손길
counter	카운터
avenger	복수자
ura_peek	이면투시
take_back	무르기
riichi_upgrade	이중 선언
free_riichi_discard	자유 선언
peek_riichi_waits	선언 간파
xray_hand	투시
rinshan_preview	영상 정찰
yakuman_shield	역만 방어술
omni_chi	사방치기
pseudo_dealer	찬탈자
last_stand	승부수
die_hard	죽기살기
hidden_blade	숨은 칼날
tile_dyeing	염색
scapegoat	덤터기
let_it_ride	판돈 굴리기
open_riichi_reveal	오픈 리치
invincible	천하무적
hidden_river	안개 덮인 바닥
suit_unify	단색 세계
hand_swap3	등가교환
full_hand_swap	통째로 바꾸기
discard_lock	봉인술사
tanyao_break	탕야오 해방
open_kokushi	우는 국사무쌍
broken_wall	끝없는 윤회
seat_swap	자리 바꿈
future_sight	미래를 보는 자
bottom_deal	밑장빼기
true_dragon	진짜 용
parasite	기생충
jackpot	일확천금
big_hand	큰손
late_bloomer	대기만성 (반장전)
late_bloomer_east	대기만성 (동풍전)
nagashi_yakuman	유국역만
cliff_bloom	절벽 위에 피어난 꽃
no_retreat	물러설 수 없는 선언
alchemist	연금술사
blood_contract	핏빛 계약
aotenjou_ceiling	뚫린 천장
devils_advance	가불 인생
all_or_nothing	모 아니면 도
eternal_dealer	만년 오야
broken_border	무너진 국경
pond_snatch	날치기
grave_rob	무덤 도굴
spy	스파이
karma	카르마
time_stop	시간 정지
riichi_seal	리치 봉인
mixed_nine_gates	뒤섞인 아홉 개의 연꽃
haitei_lord	해저의 지배자
off_by_one	한 끗 차이
silent_swap	정적의 손
ankan_dora	밀실의 도라
foresight	예지
rank_gate	격(格)
dead_wall_master	왕패의 주인
stealth_riichi	스텔스 리치
void_kan	성립하지 않는 깡
honba_hunter	본장 사냥꾼
mixed_triplet	동수의 결속
royal_kokushi	왕의 징표
siege_riichi	공성계
polar_ends	양극
async_chiitoi	비대칭
genesis	개벽
unification	천하통일
table_flip	밥상 뒤엎기
soul_hunt	혼 사냥
bluff_pretense	허장성세
blame_shift	책임전가
no_ron_pact	불가침 조약
always_tenpai	승승장구
dora_conceal	가려진 도라
late_double	뒤늦은 출진
call_seal	함구령
even_world	짝수의 세계
brief_fog	박무
giant_god	마작의 거신병
conjure_draw	소환
bottom_yaku	바닥의 족보
tenpai_scan	천리안
danger_sense	지뢰 탐지
triple_peek	삼세 예지
meld_dissolve	파혼
wind_lineage	바람의 계보
silent_pact	묵계
regret	미련
disarm	무장해제
push_riichi	등 떠밀기
reload	재장전
honor_return	귀환
tile_split	분열
frame_up	누명
three_dragons_will	삼원의 의지
snake_kan	장사진
palm_flip	손바닥 뒤집기
north_trader	북풍 상인
hourglass	뒤집힌 모래시계
mirror_dora	거울
cornucopia	수상한 주사위
time_pressure	초읽기
blind_ron	눈먼 총알
dora_afterimage	잔상
sign_flip	반전
soul_strike	영혼의 일격
picky_eater	편식
joker	조커
