id,offered,picked,pickRate,games,avgPlacement,winRate,place1,place2,place3,place4,power,sampleFlag
true_dragon,129,90,0.6977,92,2.457,0.2391,22,24,28,18,47,OK
suit_unify,177,120,0.678,121,2.083,0.438,53,26,21,21,44,OK
silent_pact,163,110,0.6748,112,2.688,0.2143,24,23,29,36,45,OK
open_riichi,206,122,0.5922,124,2.556,0.2823,35,22,30,37,42,OK
dead_wall_master,169,100,0.5917,103,2.573,0.1942,20,24,39,20,39,OK
royal_kokushi,147,85,0.5782,86,2.326,0.3256,28,22,16,20,44,OK
eternal_dealer,144,83,0.5764,86,2.64,0.2209,19,18,24,25,41,OK
genesis,209,117,0.5598,118,2.627,0.1949,23,32,29,34,44,OK
cornucopia,199,110,0.5528,110,2.227,0.3545,39,25,28,18,41,OK
open_kokushi,168,91,0.5417,93,2.452,0.2581,24,25,22,22,41,OK
free_riichi_discard,162,87,0.537,89,2.506,0.2584,23,16,32,18,41,OK
polar_ends,161,86,0.5342,89,2.573,0.2697,24,18,19,28,41,OK
broken_border,229,121,0.5284,124,2.218,0.3306,41,33,32,18,38,OK
conjure_draw,228,120,0.5263,123,2.553,0.2114,26,29,42,26,39,OK
soul_strike,138,72,0.5217,74,2.541,0.2838,21,13,19,21,41,OK
stealth_riichi,237,123,0.519,125,2.376,0.256,32,36,35,22,41,OK
foresight,207,103,0.4976,106,2.311,0.3113,33,29,22,22,39,OK
pond_snatch,229,113,0.4934,115,2.452,0.2522,29,30,31,25,35,OK
mixed_triplet,235,113,0.4809,114,2.482,0.2281,26,34,27,27,38,OK
regret,229,108,0.4716,108,2.648,0.2222,24,25,24,35,35,OK
discard_recall,217,102,0.47,104,2.769,0.1635,17,26,25,36,34,OK
joker,198,93,0.4697,96,1.583,0.6042,58,22,14,2,36,OK
wind_lineage,225,105,0.4667,106,2.67,0.1509,16,31,31,28,38,OK
broken_wall,241,112,0.4647,113,2.425,0.2478,28,32,30,23,33,OK
even_world,222,103,0.464,104,2.481,0.25,26,24,32,22,35,OK
late_bloomer,69,32,0.4638,33,2.485,0.1515,5,13,9,6,35,LOW
aotenjou_ceiling,130,60,0.4615,64,2.703,0.2344,15,11,16,22,35,OK
async_chiitoi,261,120,0.4598,121,2.165,0.3306,40,38,26,17,33,OK
yakuless_win,204,93,0.4559,94,2.628,0.2021,19,24,24,27,38,OK
let_it_ride,191,87,0.4555,87,2.759,0.1494,13,21,27,26,38,OK
mirror_dora,240,109,0.4542,111,2.441,0.2613,29,28,30,24,35,OK
off_by_one,246,109,0.4431,112,2.652,0.2411,27,24,22,39,36,OK
hourglass,159,70,0.4403,73,2.548,0.2466,18,16,20,19,34,OK
north_trader,172,75,0.436,76,2.461,0.2895,22,20,11,23,34,OK
cliff_bloom,147,64,0.4354,65,2.215,0.3385,22,19,12,12,38,OK
table_flip,267,116,0.4345,117,2.547,0.2393,28,28,30,31,33,OK
jackpot,261,109,0.4176,113,2.69,0.2389,27,18,31,37,31,OK
three_dragons_will,181,75,0.4144,81,2.519,0.2346,19,21,21,20,35,OK
riichi_seal,228,94,0.4123,94,2.543,0.2872,27,15,26,26,32,OK
big_hand,214,87,0.4065,91,2.593,0.2198,20,22,24,25,34,OK
ankan_dora,166,66,0.3976,67,2.701,0.1493,10,20,17,20,32,OK
no_retreat,193,76,0.3938,79,2.43,0.3038,24,18,16,21,34,OK
bluff_pretense,224,88,0.3929,90,2.544,0.2444,22,23,19,26,34,OK
hidden_blade,200,78,0.39,78,2.692,0.1667,13,23,17,25,31,OK
grave_rob,218,85,0.3899,88,2.568,0.2045,18,27,18,25,35,OK
tanyao_break,205,79,0.3854,79,2.43,0.2278,18,26,18,17,35,OK
soul_hunt,264,100,0.3788,102,2.598,0.1569,16,36,23,27,31,OK
alchemist,260,98,0.3769,101,2.762,0.1881,19,16,36,30,30,OK
bottom_deal,235,88,0.3745,88,2.5,0.2386,21,24,21,22,34,OK
silent_swap,225,84,0.3733,84,2.619,0.1905,16,22,24,22,32,OK
iron_wall,239,89,0.3724,89,2.629,0.2022,18,22,24,25,33,OK
dora_afterimage,248,92,0.371,92,2.554,0.2283,21,26,18,27,31,OK
all_or_nothing,246,90,0.3659,93,2.344,0.3548,33,14,27,19,32,OK
time_stop,208,76,0.3654,77,2.571,0.2597,20,14,22,21,34,OK
spy,233,85,0.3648,86,2.674,0.186,16,19,28,23,33,OK
late_double,248,90,0.3629,92,2.587,0.1957,18,25,26,23,33,OK
picky_eater,253,91,0.3597,92,2.174,0.3696,34,24,18,16,31,OK
red_five_touch,260,93,0.3577,95,2.189,0.4,38,18,22,17,32,OK
riichi_upgrade,145,51,0.3517,53,2.321,0.2642,14,18,11,10,32,LOW
hidden_river,266,93,0.3496,95,2.442,0.2632,25,27,19,24,30,OK
sign_flip,256,89,0.3477,92,2.315,0.25,23,32,22,15,32,OK
omni_chi,278,96,0.3453,99,2.596,0.1919,19,28,26,26,30,OK
invincible,242,83,0.343,85,2.424,0.2118,18,27,26,14,31,OK
tile_dyeing,275,93,0.3382,93,2.548,0.2688,25,20,20,28,31,OK
unification,233,77,0.3305,81,2.494,0.2469,20,20,22,19,30,OK
palm_flip,276,91,0.3297,93,2.763,0.2258,21,16,20,36,29,OK
blood_contract,156,51,0.3269,53,2.66,0.1509,8,14,19,12,31,LOW
tile_split,254,83,0.3268,83,2.024,0.4819,40,15,14,14,30,OK
future_sight,281,90,0.3203,91,2.484,0.3077,28,18,18,27,27,OK
no_ron_pact,105,33,0.3143,33,2.545,0.1818,6,12,6,9,27,LOW
rinshan_preview,179,55,0.3073,57,2.263,0.193,11,26,14,6,31,LOW
take_back,233,71,0.3047,72,2.431,0.2778,20,19,15,18,31,OK
xray_hand,250,76,0.304,77,2.506,0.2857,22,18,13,24,29,OK
open_riichi_reveal,222,67,0.3018,68,2.544,0.2647,18,16,13,21,29,OK
giant_god,201,60,0.2985,63,2.46,0.2063,13,17,24,9,27,OK
siege_riichi,316,90,0.2848,92,2.674,0.1957,18,21,26,27,28,OK
devils_advance,99,28,0.2828,28,2.286,0.3571,10,6,6,6,30,LOW
pseudo_dealer,238,67,0.2815,70,2.371,0.2429,17,26,11,16,29,OK
push_riichi,263,74,0.2814,75,2.6,0.1867,14,17,29,15,26,OK
meld_dissolve,214,60,0.2804,61,2.787,0.1475,9,13,21,18,28,OK
snake_kan,179,48,0.2682,52,2.731,0.1731,9,12,15,16,28,LOW
full_hand_swap,296,78,0.2635,82,2.488,0.2683,22,18,22,20,27,OK
mixed_nine_gates,198,52,0.2626,53,2.472,0.2264,12,16,13,12,30,LOW
nagashi_yakuman,216,56,0.2593,62,2.371,0.2742,17,18,14,13,28,OK
haitei_lord,190,49,0.2579,52,2.404,0.2692,14,15,11,12,27,LOW
dora_conceal,300,77,0.2567,77,2.688,0.1429,11,21,26,19,24,OK
parasite,270,66,0.2444,68,1.779,0.4706,32,23,9,4,26,OK
honor_return,255,62,0.2431,64,2.703,0.1875,12,16,15,21,27,OK
void_kan,169,41,0.2426,42,2.357,0.2857,12,12,9,9,26,LOW
karma,258,62,0.2403,63,2.317,0.2222,14,24,16,9,24,OK
blind_ron,279,67,0.2401,69,2.71,0.2464,17,10,18,24,26,OK
peek_riichi_waits,282,67,0.2376,68,2.588,0.2059,14,20,14,20,26,OK
seat_swap,181,39,0.2155,40,2.525,0.35,14,4,9,13,26,LOW
ura_peek,313,67,0.2141,69,2.696,0.1884,13,16,19,21,25,OK
counter,226,48,0.2124,51,2.451,0.2745,14,13,11,13,27,LOW
last_stand,262,55,0.2099,59,2.407,0.3051,18,12,16,13,25,LOW
honba_hunter,275,55,0.2,56,2.643,0.2143,12,16,8,20,24,LOW
rank_gate,207,40,0.1932,43,2.326,0.3721,16,7,10,10,24,LOW
blame_shift,271,52,0.1919,56,2.446,0.25,14,15,15,12,25,LOW
discard_lock,290,51,0.1759,53,2.396,0.2075,11,20,12,10,23,LOW
tenpai_scan,267,46,0.1723,46,2.457,0.3043,14,10,9,13,22,LOW
scapegoat,285,49,0.1719,51,2.529,0.2745,14,11,11,15,23,LOW
danger_sense,268,46,0.1716,47,2.681,0.1915,9,11,13,14,22,LOW
reload,76,11,0.1447,11,3.0,0.1818,2,1,3,5,24,TOO_SMALL
triple_peek,302,43,0.1424,44,2.614,0.2045,9,12,10,13,21,LOW
avenger,192,27,0.1406,30,2.433,0.3,9,4,12,5,22,LOW
yakuman_shield,283,38,0.1343,40,2.675,0.2,8,10,9,13,21,LOW
brief_fog,279,35,0.1254,38,2.737,0.1579,6,10,10,12,20,LOW
bottom_yaku,184,23,0.125,24,3.0,0.125,3,5,5,11,21,LOW
disarm,274,32,0.1168,35,2.686,0.1429,5,8,15,7,18,LOW
time_pressure,317,35,0.1104,36,2.556,0.2222,8,9,10,9,18,LOW
call_seal,292,32,0.1096,34,2.735,0.2059,7,8,6,13,20,LOW
always_tenpai,254,26,0.1024,30,2.0,0.5,15,5,5,5,20,LOW
die_hard,236,12,0.0508,15,2.333,0.2,3,5,6,1,16,LOW
frame_up,183,0,0.0,1,1.0,1.0,1,0,0,0,33,TOO_SMALL
hand_swap3,233,0,0.0,1,2.0,0.0,0,1,0,0,35,TOO_SMALL
