id,offered,picked,pickRate,games,avgPlacement,winRate,place1,place2,place3,place4,power,sampleFlag
true_dragon,321,226,0.704,230,2.422,0.2739,63,55,64,48,47,OK
royal_kokushi,354,223,0.6299,226,2.407,0.2743,62,60,54,50,44,OK
suit_unify,451,276,0.612,279,2.125,0.4158,116,63,49,51,44,OK
silent_pact,398,237,0.5955,241,2.639,0.2365,57,50,57,77,45,OK
genesis,506,301,0.5949,304,2.576,0.2368,72,71,75,86,44,OK
free_riichi_discard,413,243,0.5884,247,2.543,0.2308,57,59,71,60,41,OK
polar_ends,411,231,0.562,237,2.473,0.2616,62,59,58,58,41,OK
eternal_dealer,353,198,0.5609,203,2.542,0.2463,50,48,50,55,41,OK
dead_wall_master,414,226,0.5459,232,2.603,0.194,45,57,75,55,39,OK
open_riichi,510,278,0.5451,284,2.521,0.25,71,67,73,73,42,OK
soul_strike,358,194,0.5419,198,2.505,0.2828,56,38,52,52,41,OK
stealth_riichi,562,298,0.5302,304,2.467,0.2533,77,83,69,75,41,OK
cornucopia,482,255,0.529,255,2.373,0.2745,70,73,59,53,41,OK
conjure_draw,559,293,0.5242,298,2.389,0.2718,81,82,73,62,39,OK
open_kokushi,384,196,0.5104,200,2.435,0.25,50,58,47,45,41,OK
foresight,523,261,0.499,265,2.294,0.3434,91,60,59,55,39,OK
broken_border,575,283,0.4922,286,2.332,0.2902,83,79,70,54,38,OK
wind_lineage,532,259,0.4868,260,2.738,0.1654,43,59,81,77,38,OK
late_bloomer,169,82,0.4852,84,2.357,0.2857,24,21,24,15,35,OK
pond_snatch,575,278,0.4835,284,2.521,0.243,69,73,67,75,35,OK
yakuless_win,545,263,0.4826,266,2.53,0.2218,59,70,74,63,38,OK
mixed_triplet,589,281,0.4771,283,2.523,0.2473,70,70,68,75,38,OK
cliff_bloom,346,163,0.4711,167,2.383,0.2874,48,43,40,36,38,OK
let_it_ride,479,223,0.4656,225,2.742,0.1422,32,59,69,65,38,OK
three_dragons_will,446,204,0.4574,212,2.618,0.1934,41,56,58,57,35,OK
grave_rob,581,265,0.4561,269,2.353,0.29,78,71,67,53,35,OK
tanyao_break,533,243,0.4559,243,2.432,0.251,61,71,56,55,35,OK
joker,486,221,0.4547,226,1.642,0.5929,134,49,33,10,36,OK
even_world,564,251,0.445,256,2.48,0.2383,61,63,80,52,35,OK
discard_recall,535,238,0.4449,242,2.653,0.1901,46,68,52,76,34,OK
mirror_dora,558,243,0.4355,247,2.441,0.2915,72,58,53,64,35,OK
aotenjou_ceiling,339,146,0.4307,151,2.603,0.2384,36,30,43,42,35,OK
off_by_one,634,273,0.4306,276,2.438,0.2862,79,65,64,68,36,OK
no_retreat,523,225,0.4302,230,2.426,0.2913,67,52,57,54,34,OK
regret,609,258,0.4236,260,2.635,0.2346,61,56,60,83,35,OK
table_flip,647,274,0.4235,278,2.568,0.2014,56,78,74,70,33,OK
async_chiitoi,675,284,0.4207,286,2.318,0.3042,87,68,84,47,33,OK
big_hand,556,232,0.4173,236,2.64,0.178,42,63,69,62,34,OK
north_trader,403,166,0.4119,168,2.565,0.2381,40,45,31,52,34,OK
broken_wall,605,249,0.4116,252,2.516,0.2222,56,73,60,63,33,OK
hourglass,397,163,0.4106,168,2.619,0.244,41,33,43,51,34,OK
ankan_dora,402,165,0.4104,166,2.639,0.1807,30,46,44,46,32,OK
all_or_nothing,607,248,0.4086,254,2.484,0.315,80,36,73,65,32,OK
bottom_deal,571,230,0.4028,232,2.539,0.2457,57,55,58,62,34,OK
bluff_pretense,563,226,0.4014,229,2.515,0.2271,52,68,48,61,34,OK
spy,613,241,0.3931,244,2.545,0.2336,57,60,64,63,33,OK
riichi_upgrade,371,144,0.3881,147,2.605,0.1837,27,41,42,37,32,OK
late_double,634,246,0.388,250,2.484,0.236,59,69,64,58,33,OK
riichi_seal,573,222,0.3874,223,2.664,0.2242,50,46,56,71,32,OK
soul_hunt,633,240,0.3791,242,2.504,0.2355,57,64,63,58,31,OK
jackpot,661,248,0.3752,254,2.626,0.2244,57,56,66,75,31,OK
hidden_blade,526,197,0.3745,201,2.632,0.1841,37,52,60,52,31,OK
silent_swap,583,218,0.3739,218,2.472,0.2477,54,57,57,50,32,OK
dora_afterimage,596,220,0.3691,223,2.534,0.2422,54,58,49,62,31,OK
alchemist,683,249,0.3646,253,2.601,0.2213,56,61,64,72,30,OK
time_stop,518,188,0.3629,192,2.625,0.2135,41,42,57,52,34,OK
iron_wall,592,213,0.3598,217,2.604,0.2396,52,50,47,68,33,OK
take_back,604,217,0.3593,221,2.335,0.2851,63,62,55,41,31,OK
sign_flip,631,226,0.3582,232,2.422,0.2543,59,66,57,50,32,OK
tile_dyeing,673,241,0.3581,243,2.37,0.3004,73,63,51,56,31,OK
omni_chi,684,239,0.3494,248,2.629,0.1815,45,70,65,68,30,OK
picky_eater,683,237,0.347,241,2.282,0.3485,84,58,46,53,31,OK
red_five_touch,624,214,0.3429,221,2.244,0.371,82,48,46,45,32,OK
invincible,602,202,0.3355,206,2.5,0.2136,44,57,63,42,31,OK
tile_split,635,212,0.3339,215,2.172,0.4,86,44,47,38,30,OK
unification,596,198,0.3322,204,2.515,0.25,51,52,46,55,30,OK
mixed_nine_gates,519,172,0.3314,177,2.531,0.2203,39,46,51,41,30,OK
hidden_river,638,211,0.3307,217,2.65,0.212,46,48,59,64,30,OK
open_riichi_reveal,610,201,0.3295,204,2.603,0.2304,47,49,46,62,29,OK
rinshan_preview,429,141,0.3287,145,2.434,0.2,29,51,38,27,31,OK
palm_flip,620,203,0.3274,209,2.67,0.2057,43,51,47,68,29,OK
xray_hand,614,198,0.3225,201,2.562,0.2537,51,48,40,62,29,OK
blood_contract,385,122,0.3169,126,2.643,0.1825,23,32,38,33,31,OK
devils_advance,233,73,0.3133,75,2.24,0.3067,23,24,15,13,30,OK
pseudo_dealer,621,187,0.3011,197,2.528,0.2284,45,56,43,53,29,OK
giant_god,481,139,0.289,147,2.531,0.2041,30,41,44,32,27,OK
siege_riichi,720,208,0.2889,212,2.712,0.1698,36,51,63,62,28,OK
future_sight,704,203,0.2884,209,2.488,0.2536,53,50,57,49,27,OK
snake_kan,446,127,0.2848,135,2.481,0.2444,33,37,32,33,28,OK
no_ron_pact,302,84,0.2781,87,2.701,0.1839,16,22,21,28,27,OK
full_hand_swap,720,200,0.2778,207,2.464,0.2657,55,50,53,49,27,OK
honor_return,699,189,0.2704,191,2.707,0.1885,36,47,45,63,27,OK
push_riichi,679,183,0.2695,188,2.585,0.234,44,34,66,44,26,OK
nagashi_yakuman,528,138,0.2614,147,2.361,0.2857,42,41,33,31,28,OK
haitei_lord,452,118,0.2611,124,2.46,0.2742,34,31,27,32,27,OK
peek_riichi_waits,666,170,0.2553,175,2.526,0.2457,43,42,45,45,26,OK
counter,549,139,0.2532,143,2.448,0.2657,38,38,32,35,27,OK
parasite,678,170,0.2507,175,1.863,0.4514,79,57,23,16,26,OK
meld_dissolve,540,130,0.2407,134,2.709,0.1642,22,36,35,41,28,OK
karma,659,155,0.2352,156,2.199,0.2179,34,70,39,13,24,OK
void_kan,443,104,0.2348,110,2.527,0.2364,26,30,24,30,26,OK
blind_ron,705,161,0.2284,165,2.685,0.2303,38,31,41,55,26,OK
dora_conceal,754,164,0.2175,164,2.64,0.1707,28,45,49,42,24,OK
blame_shift,630,136,0.2159,143,2.413,0.2727,39,41,28,35,25,OK
ura_peek,760,162,0.2132,166,2.554,0.247,41,35,47,43,25,OK
last_stand,695,145,0.2086,153,2.431,0.281,43,41,29,40,25,OK
seat_swap,482,99,0.2054,102,2.402,0.3039,31,26,18,27,26,OK
honba_hunter,680,135,0.1985,140,2.543,0.2286,32,38,32,38,24,OK
discard_lock,735,139,0.1891,144,2.625,0.1944,28,40,34,42,23,OK
rank_gate,515,95,0.1845,100,2.58,0.27,27,17,27,29,24,OK
scapegoat,704,128,0.1818,132,2.447,0.303,40,25,35,32,23,OK
danger_sense,679,115,0.1694,116,2.647,0.2069,24,28,29,35,22,OK
tenpai_scan,714,114,0.1597,115,2.609,0.2261,26,29,24,36,22,OK
reload,228,36,0.1579,37,2.649,0.2162,8,8,10,11,24,LOW
avenger,460,72,0.1565,79,2.658,0.2405,19,13,23,24,22,OK
bottom_yaku,489,71,0.1452,73,2.808,0.1644,12,15,21,25,21,OK
triple_peek,678,93,0.1372,101,2.535,0.2178,22,28,26,25,21,OK
call_seal,708,94,0.1328,99,2.667,0.2121,21,21,27,30,20,OK
yakuman_shield,733,94,0.1282,104,2.673,0.1827,19,28,25,32,21,OK
brief_fog,735,94,0.1279,104,2.75,0.1635,17,28,23,36,20,OK
always_tenpai,702,81,0.1154,87,2.207,0.3103,27,27,21,12,20,OK
disarm,707,73,0.1033,78,2.654,0.1667,13,17,32,16,18,OK
time_pressure,749,73,0.0975,76,2.632,0.1974,15,18,23,20,18,OK
die_hard,612,35,0.0572,41,2.22,0.3171,13,11,12,5,16,LOW
frame_up,477,0,0.0,6,1.667,0.5,3,2,1,0,33,TOO_SMALL
hand_swap3,620,0,0.0,5,2.8,0.2,1,1,1,2,35,TOO_SMALL
