id,offered,picked,pickRate,games,avgPlacement,power
true_dragon,295,198,0.6711864406779661,205,2.5073170731707317,47
suit_unify,449,277,0.6169265033407573,285,2.210526315789474,44
royal_kokushi,329,200,0.60790273556231,205,2.5073170731707317,44
silent_pact,356,216,0.6067415730337079,218,2.5871559633027523,45
stealth_riichi,521,305,0.5854126679462572,310,2.509677419354839,41
polar_ends,384,223,0.5807291666666666,229,2.554585152838428,41
genesis,452,262,0.5796460176991151,265,2.5962264150943395,44
cornucopia,495,275,0.5555555555555556,275,2.4945454545454546,41
conjure_draw,565,313,0.5539823008849557,318,2.440251572327044,39
open_riichi,541,292,0.5397412199630314,293,2.6040955631399316,42
soul_strike,356,190,0.5337078651685393,196,2.392857142857143,41
wind_lineage,529,279,0.5274102079395085,281,2.4839857651245554,38
yakuless_win,551,283,0.5136116152450091,285,2.719298245614035,38
mixed_triplet,616,315,0.5113636363636364,321,2.5638629283489096,38
eternal_dealer,326,166,0.50920245398773,167,2.55688622754491,41
broken_border,610,308,0.5049180327868853,310,2.3419354838709676,38
foresight,504,254,0.503968253968254,255,2.3333333333333335,39
mirror_dora,530,262,0.49433962264150944,267,2.5280898876404496,35
dead_wall_master,344,168,0.4883720930232558,171,2.625730994152047,39
cliff_bloom,285,139,0.48771929824561405,145,2.7379310344827585,38
let_it_ride,504,238,0.4722222222222222,241,2.6473029045643153,38
off_by_one,626,291,0.46485623003194887,295,2.4169491525423727,36
even_world,604,279,0.46192052980132453,285,2.456140350877193,35
big_hand,500,230,0.46,231,2.5064935064935066,34
three_dragons_will,414,189,0.45652173913043476,192,2.6927083333333335,35
free_riichi_discard,334,152,0.4550898203592814,156,2.4551282051282053,41
open_kokushi,348,158,0.4540229885057471,162,2.537037037037037,41
grave_rob,542,246,0.45387453874538747,251,2.5139442231075697,35
pond_snatch,657,295,0.4490106544901065,299,2.5451505016722407,35
late_bloomer_east,233,104,0.44635193133047213,106,2.707547169811321,35
bluff_pretense,532,236,0.44360902255639095,239,2.602510460251046,34
no_retreat,538,233,0.43308550185873607,238,2.491596638655462,34
tanyao_break,499,216,0.43286573146292584,221,2.420814479638009,35
regret,574,248,0.43205574912891986,250,2.484,35
time_stop,569,245,0.4305799648506151,249,2.570281124497992,34
late_double,663,284,0.42835595776772245,289,2.5432525951557095,33
bottom_deal,605,257,0.42479338842975206,258,2.5310077519379846,34
joker,393,164,0.4173027989821883,169,1.8224852071005917,36
table_flip,586,240,0.40955631399317405,246,2.5040650406504064,33
aotenjou_ceiling,289,118,0.4083044982698962,124,2.3629032258064515,35
discard_recall,548,220,0.40145985401459855,223,2.475336322869955,34
north_trader,339,136,0.40117994100294985,140,2.3857142857142857,34
red_five_touch,573,227,0.3961605584642234,229,2.3187772925764194,32
take_back,621,246,0.3961352657004831,248,2.4919354838709675,31
iron_wall,629,246,0.39109697933227344,248,2.5725806451612905,33
riichi_seal,565,219,0.38761061946902653,222,2.418918918918919,32
spy,609,234,0.3842364532019704,242,2.603305785123967,33
hourglass,346,131,0.3786127167630058,134,2.544776119402985,34
all_or_nothing,611,231,0.3780687397708674,242,2.5082644628099175,32
hidden_blade,588,220,0.3741496598639456,229,2.5807860262008733,31
soul_hunt,622,232,0.3729903536977492,237,2.590717299578059,31
async_chiitoi,665,247,0.37142857142857144,250,2.172,33
devils_advance,260,96,0.36923076923076925,99,1.9595959595959596,30
riichi_upgrade,353,130,0.36827195467422097,137,2.5255474452554743,32
sign_flip,576,212,0.3680555555555556,218,2.573394495412844,32
invincible,592,217,0.36655405405405406,221,2.4570135746606336,31
dora_afterimage,621,225,0.36231884057971014,230,2.5130434782608697,31
unification,572,206,0.36013986013986016,207,2.685990338164251,30
silent_swap,614,221,0.35993485342019543,228,2.3947368421052633,32
mixed_nine_gates,459,164,0.3572984749455338,172,2.616279069767442,30
ankan_dora,377,132,0.35013262599469497,138,2.5,32
jackpot,620,216,0.34838709677419355,218,2.532110091743119,31
tile_dyeing,685,237,0.345985401459854,247,2.4615384615384617,31
open_riichi_reveal,615,210,0.34146341463414637,218,2.518348623853211,29
blood_contract,362,123,0.3397790055248619,125,2.584,31
xray_hand,585,194,0.3316239316239316,198,2.5303030303030303,29
rinshan_preview,377,124,0.32891246684350134,127,2.440944881889764,31
picky_eater,663,217,0.3273001508295626,219,2.5159817351598175,31
omni_chi,686,224,0.32653061224489793,226,2.6238938053097347,30
broken_wall,623,198,0.31781701444622795,199,2.4271356783919598,33
counter,457,144,0.3150984682713348,150,2.4266666666666667,27
pseudo_dealer,641,196,0.30577223088923555,201,2.5024875621890548,29
hidden_river,679,206,0.30338733431516934,208,2.4903846153846154,30
tile_split,668,202,0.3023952095808383,207,2.1642512077294684,30
nagashi_yakuman,439,131,0.2984054669703872,135,2.6,28
palm_flip,614,178,0.2899022801302932,185,2.5135135135135136,29
honor_return,636,180,0.2830188679245283,188,2.601063829787234,27
alchemist,675,185,0.2740740740740741,197,2.5939086294416245,30
haitei_lord,406,109,0.2684729064039409,119,2.6218487394957983,27
meld_dissolve,429,114,0.26573426573426573,120,2.533333333333333,28
peek_riichi_waits,685,182,0.2656934306569343,188,2.4414893617021276,26
no_ron_pact,299,79,0.26421404682274247,84,2.380952380952381,27
full_hand_swap,703,183,0.2603129445234708,186,2.3978494623655915,27
giant_god,465,121,0.26021505376344084,127,2.409448818897638,27
siege_riichi,705,183,0.25957446808510637,187,2.5989304812834226,28
future_sight,720,186,0.25833333333333336,188,2.5531914893617023,27
snake_kan,401,102,0.2543640897755611,107,2.560747663551402,28
push_riichi,702,172,0.245014245014245,176,2.772727272727273,26
parasite,695,168,0.24172661870503598,175,2.1542857142857144,26
blind_ron,677,157,0.23190546528803546,165,2.806060606060606,26
ura_peek,679,157,0.23122238586156113,164,2.567073170731707,25
seat_swap,403,90,0.22332506203473945,92,2.3369565217391304,26
blame_shift,649,144,0.2218798151001541,145,2.317241379310345,25
void_kan,394,85,0.21573604060913706,93,2.4623655913978495,26
dora_conceal,702,150,0.21367521367521367,152,2.6842105263157894,24
rank_gate,426,91,0.2136150234741784,97,2.484536082474227,24
honba_hunter,731,151,0.20656634746922026,155,2.6,24
scapegoat,723,149,0.20608575380359612,152,2.5723684210526314,23
karma,656,135,0.20579268292682926,141,2.4468085106382977,24
reload,173,35,0.2023121387283237,36,2.4166666666666665,24
last_stand,734,146,0.1989100817438692,152,2.348684210526316,25
discard_lock,699,122,0.17453505007153075,126,2.492063492063492,23
tenpai_scan,715,123,0.17202797202797201,131,2.5343511450381677,22
triple_peek,708,120,0.1694915254237288,124,2.588709677419355,21
avenger,378,63,0.16666666666666666,70,2.857142857142857,22
yakuman_shield,647,102,0.15765069551777433,109,2.6788990825688073,21
danger_sense,691,107,0.1548480463096961,110,2.5545454545454547,22
always_tenpai,692,95,0.13728323699421965,99,2.0606060606060606,20
brief_fog,722,89,0.12326869806094183,95,2.526315789473684,20
bottom_yaku,410,49,0.11951219512195121,55,2.8727272727272726,21
call_seal,671,79,0.11773472429210134,84,2.4285714285714284,20
disarm,688,77,0.1119186046511628,82,2.5853658536585367,18
time_pressure,711,70,0.09845288326300984,75,2.533333333333333,18
die_hard,644,53,0.08229813664596274,61,2.3934426229508197,16
hand_swap3,612,0,0,4,2.25,35
frame_up,426,0,0,5,2.6,33
