id,offered,picked,pickRate,games,avgPlacement,winRate,place1,place2,place3,place4,power,sampleFlag
true_dragon,295,198,0.6712,205,2.507,0.2683,55,47,47,56,47,OK
suit_unify,449,277,0.6169,285,2.211,0.3754,107,66,57,55,44,OK
royal_kokushi,329,200,0.6079,205,2.507,0.2634,54,49,46,56,44,OK
silent_pact,356,216,0.6067,218,2.587,0.2339,51,51,53,63,45,OK
stealth_riichi,521,305,0.5854,310,2.51,0.2258,70,90,72,78,41,OK
polar_ends,384,223,0.5807,229,2.555,0.2096,48,65,57,59,41,OK
genesis,452,262,0.5796,265,2.596,0.2528,67,48,75,75,44,OK
cornucopia,495,275,0.5556,275,2.495,0.28,77,58,67,73,41,OK
conjure_draw,565,313,0.554,318,2.44,0.2704,86,80,78,74,39,OK
open_riichi,541,292,0.5397,293,2.604,0.2014,59,71,90,73,42,OK
soul_strike,356,190,0.5337,196,2.393,0.3061,60,48,39,49,41,OK
wind_lineage,529,279,0.5274,281,2.484,0.2562,72,72,66,71,38,OK
yakuless_win,551,283,0.5136,285,2.719,0.2,57,61,72,95,38,OK
mixed_triplet,616,315,0.5114,321,2.564,0.2274,73,73,96,79,38,OK
eternal_dealer,326,166,0.5092,167,2.557,0.2695,45,32,42,48,41,OK
broken_border,610,308,0.5049,310,2.342,0.2839,88,88,74,60,38,OK
foresight,504,254,0.504,255,2.333,0.2902,74,71,61,49,39,OK
mirror_dora,530,262,0.4943,267,2.528,0.2584,69,57,72,69,35,OK
dead_wall_master,344,168,0.4884,171,2.626,0.2105,36,40,47,48,39,OK
cliff_bloom,285,139,0.4877,145,2.738,0.1586,23,40,34,48,38,OK
let_it_ride,504,238,0.4722,241,2.647,0.2116,51,50,73,67,38,OK
off_by_one,626,291,0.4649,295,2.417,0.2983,88,65,73,69,36,OK
even_world,604,279,0.4619,285,2.456,0.2421,69,81,71,64,35,OK
big_hand,500,230,0.46,231,2.506,0.2597,60,57,51,63,34,OK
three_dragons_will,414,189,0.4565,192,2.693,0.1615,31,46,66,49,35,OK
free_riichi_discard,334,152,0.4551,156,2.455,0.2692,42,41,33,40,41,OK
open_kokushi,348,158,0.454,162,2.537,0.284,46,33,33,50,41,OK
grave_rob,542,246,0.4539,251,2.514,0.243,61,61,68,61,35,OK
pond_snatch,657,295,0.449,299,2.545,0.2341,70,72,81,76,35,OK
late_bloomer_east,233,104,0.4464,106,2.708,0.2075,22,19,33,32,35,OK
bluff_pretense,532,236,0.4436,239,2.603,0.2218,53,57,61,68,34,OK
no_retreat,538,233,0.4331,238,2.492,0.2605,62,61,51,64,34,OK
tanyao_break,499,216,0.4329,221,2.421,0.2896,64,51,55,51,35,OK
regret,574,248,0.4321,250,2.484,0.308,77,41,66,66,35,OK
time_stop,569,245,0.4306,249,2.57,0.2369,59,57,65,68,34,OK
late_double,663,284,0.4284,289,2.543,0.2353,68,68,81,72,33,OK
bottom_deal,605,257,0.4248,258,2.531,0.2597,67,56,66,69,34,OK
joker,393,164,0.4173,169,1.822,0.5325,90,38,22,19,36,OK
table_flip,586,240,0.4096,246,2.504,0.2439,60,63,62,61,33,OK
aotenjou_ceiling,289,118,0.4083,124,2.363,0.371,46,24,17,37,35,OK
discard_recall,548,220,0.4015,223,2.475,0.2646,59,55,53,56,34,OK
north_trader,339,136,0.4012,140,2.386,0.2786,39,37,35,29,34,OK
red_five_touch,573,227,0.3962,229,2.319,0.3406,78,52,47,52,32,OK
take_back,621,246,0.3961,248,2.492,0.254,63,67,51,67,31,OK
iron_wall,629,246,0.3911,248,2.573,0.2258,56,66,54,72,33,OK
riichi_seal,565,219,0.3876,222,2.419,0.2838,63,59,44,56,32,OK
spy,609,234,0.3842,242,2.603,0.2149,52,56,70,64,33,OK
hourglass,346,131,0.3786,134,2.545,0.2537,34,30,33,37,34,OK
all_or_nothing,611,231,0.3781,242,2.508,0.2851,69,51,52,70,32,OK
hidden_blade,588,220,0.3741,229,2.581,0.2533,58,50,51,70,31,OK
soul_hunt,622,232,0.373,237,2.591,0.1983,47,63,67,60,31,OK
async_chiitoi,665,247,0.3714,250,2.172,0.356,89,73,44,44,33,OK
devils_advance,260,96,0.3692,99,1.96,0.4242,42,29,18,10,30,OK
riichi_upgrade,353,130,0.3683,137,2.526,0.2044,28,41,36,32,32,OK
sign_flip,576,212,0.3681,218,2.573,0.1927,42,64,57,55,32,OK
invincible,592,217,0.3666,221,2.457,0.2489,55,60,56,50,31,OK
dora_afterimage,621,225,0.3623,230,2.513,0.2217,51,59,71,49,31,OK
unification,572,206,0.3601,207,2.686,0.1546,32,56,64,55,30,OK
silent_swap,614,221,0.3599,228,2.395,0.2675,61,63,57,47,32,OK
mixed_nine_gates,459,164,0.3573,172,2.616,0.1919,33,44,51,44,30,OK
ankan_dora,377,132,0.3501,138,2.5,0.2319,32,39,33,34,32,OK
jackpot,620,216,0.3484,218,2.532,0.2569,56,48,56,58,31,OK
tile_dyeing,685,237,0.346,247,2.462,0.2551,63,66,59,59,31,OK
open_riichi_reveal,615,210,0.3415,218,2.518,0.2477,54,53,55,56,29,OK
blood_contract,362,123,0.3398,125,2.584,0.224,28,32,29,36,31,OK
xray_hand,585,194,0.3316,198,2.53,0.2071,41,60,48,49,29,OK
rinshan_preview,377,124,0.3289,127,2.441,0.252,32,33,36,26,31,OK
picky_eater,663,217,0.3273,219,2.516,0.242,53,52,62,52,31,OK
